Unnamed: 0,Unnamed: 1,Neuro Drain #1 Type,verify,Unnamed: 4,223926.0,Neuro Drain #1 Type.1,Unnamed: 7,Unnamed: 8,0.0,Neurological,Unnamed: 11,Unnamed: 12,Unnamed: 13,metavision,Unnamed: 15,Text,Unnamed: 17
,,,,,394.0,Inc #3 [Drainage],,chartevents,78293.0,,,,,carevue,,,
,,Smoking Cessation Info Offered via Inpatient Guide,,,227688.0,Smoking Cessation Info Offered through BIDMC Inpatient Guide,,chartevents,78170.0,Adm History/FHPA,,,,metavision,,Checkbox,
,,CPP,,,227066.0,Cerebral Perfusion Pressure,mmHg,chartevents,77626.0,Hemodynamics,,,,metavision,,Numeric,
,,,,,50827.0,VENTILATION RATE,,labevents,77611.0,BLOOD GAS,,BLOOD,,,,,
,,,,,588.0,RCW,,chartevents,77398.0,,,,,carevue,,,
,,,,,601.0,RVSW,,chartevents,77095.0,,,,,carevue,,,
,,,,,8454.0,Pain Management [Route/Status #2],,chartevents,76913.0,,,,,carevue,,,
,,Cough/Deep Breath,,,225188.0,Cough/Deep Breath,,chartevents,76848.0,Treatments,,,,metavision,,Checkbox,
,,,,,376.0,Impaired Skin Site#3,,chartevents,76767.0,,,,,carevue,,,
,,,,,3511.0,Mom held Infant,,chartevents,76739.0,,,,,carevue,,,
,,,,,43.0,Angio Appearance #1 [Attribute 1],,chartevents,76092.0,,,,,carevue,,,
,,,,,589.0,RCWI,,chartevents,75808.0,,,,,carevue,,,
,,,,,51144.0,BANDS,,labevents,75588.0,HEMATOLOGY,,BLOOD,763-3,,,,
,,,,,602.0,RVSWI,,chartevents,75515.0,,,,,carevue,,,
,,Plateau Pressure,,,224696.0,Plateau Pressure,cmH2O,chartevents,75376.0,Respiratory,,,,metavision,,Numeric,
,,,,,518.0,Pacer Wire Condition,,chartevents,74408.0,,,,,carevue,,,
,,,,,517.0,Pacer Rate,,chartevents,74351.0,,,,,carevue,,,
,,,,,123.0,Chest Tube Site #2,,chartevents,73454.0,,,,,carevue,,,
,,,,,51463.0,BACTERIA,,labevents,73412.0,HEMATOLOGY,,URINE,5769-01-05 00:00:00,,,,
,,Odor #2,,,224923.0,Impaired Skin Odor #2,,chartevents,73139.0,Skin - Impairment,,,,metavision,,Checkbox,
,,,,,424.0,LLE [Temp],,chartevents,72618.0,,,,,carevue,,,
,,,,,691.0,Tracheostomy Cuff,,chartevents,72552.0,,,,,carevue,,,
,,,,,135.0,Corneal Reflex [Right],,chartevents,72276.0,,,,,carevue,,,
,,,,,345.0,ImpSkin Character #2,,chartevents,72256.0,,,,,carevue,,,
,,,,,8435.0,LLE [Color],,chartevents,71349.0,,,,,carevue,,,
,,,,,8380.0,Corneal Reflex [Left],,chartevents,70854.0,,,,,carevue,,,
,,,,,3630.0,Stimulation,,chartevents,70807.0,,,,,carevue,,,
,,,,,8514.0,Edema [Location],,chartevents,70421.0,,,,,carevue,,,
,,,,,250.0,INV Line#4SiteAppear,,chartevents,70143.0,,,,,carevue,,,
,,,,,3598.0,Related Activity,,chartevents,70041.0,,,,,carevue,,,
,,,,,140.0,Cuff Leak,,chartevents,69457.0,,,,,carevue,,,
,,,,,8430.0,Inc #3 [Status],,chartevents,69429.0,,,,,carevue,,,
,,,,,3563.0,Parent Called,,chartevents,69167.0,,,,,carevue,,,
,,,,,3543.0,O2 Administration,,chartevents,68508.0,,,,,carevue,,,
,,,,,1811.0,Mouth Care,,chartevents,68481.0,,,,,carevue,,,
,,,,,1191.0,Glucometer,,chartevents,67861.0,,,,,carevue,,,
,,,,,205.0,GI#2 Tube [Status],,chartevents,67449.0,,,,,carevue,,,
,,,,,3494.0,Lowest Heart Rate,,chartevents,67072.0,,,,,carevue,,,
,,,,,242.0,INV Line#3 Zero/Cal,,chartevents,66479.0,,,,,carevue,,,
,,,,,163.0,Edema #1 [Location],,chartevents,66326.0,,,,,carevue,,,
,,,,,8422.0,Inc #1 [Amount],,chartevents,66056.0,,,,,carevue,,,
,,,,,50956.0,LIPASE,,labevents,65375.0,CHEMISTRY,,BLOOD,3040-01-03 00:00:00,,,,
,,,,,45.0,Angio Dressing #1,,chartevents,65003.0,,,,,carevue,,,
,,,,,410.0,Incentive Spirometry,,chartevents,64693.0,,,,,carevue,,,
,,,,,3495.0,Lowest SaO2,,chartevents,64613.0,,,,,carevue,,,
,,,,,3631.0,Stool Hemoccult,,chartevents,64365.0,,,,,carevue,,,
,,,,,3447.0,Glucose Monitor #,,chartevents,63984.0,,,,,carevue,,,
,,,,,567.0,PressSoreTreatment#1,,chartevents,63909.0,,,,,carevue,,,
,,,,,604.0,Radiologic Study,,chartevents,63713.0,,,,,carevue,,,
,,,,,50867.0,AMYLASE,,labevents,63664.0,CHEMISTRY,,BLOOD,8/1/1798,,,,
,,,,,50920.0,ESTIMATED GFR (MDRD EQUATION),,labevents,63253.0,CHEMISTRY,,BLOOD,33914-3,,,,
,,Void,,,226560.0,Void,mL,outputevents,63020.0,Output,,,,metavision,,Numeric,
,,,,,3614.0,Sensitivity,,chartevents,62810.0,,,,,carevue,,,
,,,,,40286.0,Ultrafiltrate Ultrafiltrate,,outputevents,62381.0,,,,,carevue,,,
,,Bed Bath,,,225313.0,Bed Bath,,chartevents,62146.0,Treatments,,,,metavision,,Checkbox,
,,,,,8383.0,Edema #1 [Amount],,chartevents,61833.0,,,,,carevue,,,
,,Blood Temp CCO (C),,,226329.0,Blood Temperature CCO (C),?C,chartevents,61763.0,Routine Vital Signs,,,,metavision,,Numeric,
,,,,,51233.0,HYPOCHROMIA,,labevents,61634.0,HEMATOLOGY,,BLOOD,728-6,,,,
,,,,,51137.0,ANISOCYTOSIS,,labevents,61381.0,HEMATOLOGY,,BLOOD,702-1,,,,
,,SvO2,,,223772.0,SvO2,%,chartevents,61268.0,Hemodynamics,,,,metavision,,Numeric,
,,CO (CCO),,,224842.0,Cardiac Output (CCO),L/min,chartevents,61260.0,Hemodynamics,,,,metavision,,Numeric,
,,,,,51246.0,MACROCYTES,,labevents,60837.0,HEMATOLOGY,,BLOOD,738-5,,,,
,,,,,50828.0,VENTILATOR,,labevents,60544.0,BLOOD GAS,,BLOOD,,,,,
,,,,,118.0,Cerv Collar Status,,chartevents,60292.0,,,,,carevue,,,
,,,,,152.0,Dialysis Type,,chartevents,59917.0,,,,,carevue,,,
,,,,,119.0,Cervical Collar Type,,chartevents,59610.0,,,,,carevue,,,
,,,,,3565.0,Parent Info given,,chartevents,59509.0,,,,,carevue,,,
,,,,,51251.0,METAMYELOCYTES,,labevents,59207.0,HEMATOLOGY,,BLOOD,28541-1,,,,
,,,,,51255.0,MYELOCYTES,,labevents,59159.0,HEMATOLOGY,,BLOOD,26498-6,,,,
,,,,,611.0,Replace Rate ml/hr,,chartevents,59035.0,,,,,carevue,,,
,,,,,79.0,Blood Flow ml/min,,chartevents,59033.0,,,,,carevue,,,
,,,,,148.0,Dialysis Access Site,,chartevents,58935.0,,,,,carevue,,,
,,,,,149.0,Dialysis Access Type,,chartevents,58636.0,,,,,carevue,,,
,,Access Pressure,,,224149.0,Access Pressure,mmHg,chartevents,58492.0,Dialysis,,,,metavision,,Numeric,
,,Filter Pressure,,,224150.0,Filter Pressure,mmHg,chartevents,58454.0,Dialysis,,,,metavision,,Numeric,
,,Effluent Pressure,,,224151.0,Effluent Pressure,mmHg,chartevents,58383.0,Dialysis,,,,metavision,,Numeric,
,,Return Pressure,,,224152.0,Return Pressure,mmHg,chartevents,58351.0,Dialysis,,,,metavision,,Numeric,
,,,,,51252.0,MICROCYTES,,labevents,58059.0,HEMATOLOGY,,BLOOD,741-9,,,,
,,,,,142.0,Current Goal,,chartevents,58045.0,,,,,carevue,,,
,,,,,530.0,Peak Flow,,chartevents,56368.0,,,,,carevue,,,
,,,,,29.0,Access mmHg,,chartevents,56113.0,,,,,carevue,,,
,,,,,363.0,ImpSkin Wound Base#2,,chartevents,56102.0,,,,,carevue,,,
,,,,,146.0,Dialysate Flow ml/hr,,chartevents,55936.0,,,,,carevue,,,
,,,,,51267.0,POIKILOCYTOSIS,,labevents,55886.0,HEMATOLOGY,,BLOOD,779-9,,,,
,,,,,192.0,Filter Pressure mmHg,,chartevents,55454.0,,,,,carevue,,,
,,,,,624.0,Return Pressure mmHg,,chartevents,55380.0,,,,,carevue,,,
,,,,,665.0,System Integrity,,chartevents,55358.0,,,,,carevue,,,
,,,,,147.0,Dialysate Infusing,,chartevents,55140.0,,,,,carevue,,,
,,,,,612.0,Replace.Fluid Infuse,,chartevents,55105.0,,,,,carevue,,,
,,,,,468.0,O2 Delivery Device#2,,chartevents,54799.0,,,,,carevue,,,
,,,,,51009.0,VANCOMYCIN,,labevents,54744.0,CHEMISTRY,,BLOOD,20578-1,,,,
,,,,,173.0,Effluent Press mmHg,,chartevents,54733.0,,,,,carevue,,,
,,,,,387.0,Inc #2 [Closure],,chartevents,54151.0,,,,,carevue,,,
,,,,,3374.0,Color Change,,chartevents,54077.0,,,,,carevue,,,
,,,,,1699.0,GI Tube #2 [Site],,chartevents,53989.0,,,,,carevue,,,
,,Site Length #1,,,224562.0,Impaired Skin Length #1,cm,chartevents,53288.0,Skin - Impairment,,,,metavision,,Numeric,
,,,,,8493.0,GI Tube #2 [Site],,chartevents,53277.0,,,,,carevue,,,
,,,,,3690.0,Water Pillow,,chartevents,53071.0,,,,,carevue,,,
,,,,,3306.0,Apnea [Existence],,chartevents,52321.0,,,,,carevue,,,
,,Intravenous  / IV access prior to admission,,,225103.0,Intravenous  / IV access prior to admission,,chartevents,52107.0,Adm History/FHPA,,,,metavision,,Checkbox,
,,,,,3599.0,Remote Alarm [S],,chartevents,51999.0,,,,,carevue,,,
,,,,,1045.0,Pain Level/Response,,chartevents,51942.0,,,,,carevue,,,
,,Site Width #1,,,224846.0,Impaired Skin Width #1,cm,chartevents,51206.0,Skin - Impairment,,,,metavision,,Numeric,
,,,,,8531.0,Remote Alarm [D],,chartevents,51156.0,,,,,carevue,,,
,,,,,471.0,O2 Flow (lpm) #2,,chartevents,50718.0,,,,,carevue,,,
,,,,,926.0,Religion,,chartevents,50706.0,,,,,carevue,,,
,,,,,3403.0,ETT Sx Quantity,,chartevents,50350.0,,,,,carevue,,,
,,,,,225.0,IABP setting,,chartevents,50250.0,,,,,carevue,,,
,,,,,3551.0,Oral Sx Quantity,,chartevents,49705.0,,,,,carevue,,,
,,,,,353.0,ImpSkin #2 [Drain],,chartevents,49195.0,,,,,carevue,,,
,,,,,3401.0,ETT Sx Color,,chartevents,49155.0,,,,,carevue,,,
,,,,,3681.0,Ventilator Number,,chartevents,48527.0,,,,,carevue,,,
,,,,,58.0,Atrial Pacemaker [mA],,chartevents,48216.0,,,,,carevue,,,
,,,,,338.0,Imp Skin Cleanse #1,,chartevents,47963.0,,,,,carevue,,,
,,,,,51268.0,POLYCHROMASIA,,labevents,47280.0,HEMATOLOGY,,BLOOD,10378-8,,,,
,,,,,5683.0,Hourly PFR,,chartevents,46979.0,,,,,carevue,,,
,,,,,51087.0,LENGTH OF URINE COLLECTION,,labevents,46834.0,CHEMISTRY,,URINE,13362-9,,,,
,,Odor #3,,,224924.0,Impaired Skin Odor #3,,chartevents,46553.0,Skin - Impairment,,,,metavision,,Checkbox,
,,,,,3549.0,Oral Sx Color,,chartevents,45956.0,,,,,carevue,,,
,,,,,51214.0,"FIBRINOGEN, FUNCTIONAL",,labevents,45935.0,HEMATOLOGY,,BLOOD,3255-01-07 00:00:00,,,,
,,MDI #1 Puff,,,224169.0,MDI #1 Puff,None,chartevents,45826.0,Respiratory,,,,metavision,,Numeric,
,,,,,8417.0,Inc #2 [Appearance],,chartevents,45792.0,,,,,carevue,,,
,,,,,3311.0,BP Alarm [Low],,chartevents,45737.0,,,,,carevue,,,
,,,,,93.0,CT #1 Crepitus,,chartevents,45611.0,,,,,carevue,,,
,,,,,303.0,IV #4 [Site],,chartevents,44526.0,,,,,carevue,,,
,,,,,51266.0,PLATELET SMEAR,,labevents,44151.0,HEMATOLOGY,,BLOOD,778-1,,,,
,,,,,8501.0,BP Alarm [High],,chartevents,44042.0,,,,,carevue,,,
,,,,,8371.0,Atrial Pacemaker [Sensitivity],,chartevents,43994.0,,,,,carevue,,,
,,,,,3453.0,Head of Bed,,chartevents,43247.0,,,,,carevue,,,
,,,,,823.0,Mixed Venous O2% Sat,,chartevents,43212.0,Blood Gases,,,,carevue,,,
,,,,,8403.0,IV #4 [Size],,chartevents,42802.0,,,,,carevue,,,
,,,,,731.0,Warming [Device],,chartevents,42787.0,,,,,carevue,,,
,,Self ADL,,,225092.0,Self ADL,,chartevents,42648.0,Adm History/FHPA,,,,metavision,,Checkbox,
,,,,,69.0,BSA,,chartevents,42452.0,,,,,carevue,,,
,,,,,762.0,Admit Wt,,chartevents,42452.0,,,,,carevue,,,
,,,,,916.0,Allergy 1,,chartevents,42452.0,,,,,carevue,,,
,,,,,919.0,Service,,chartevents,42452.0,,,,,carevue,,,
,,,,,920.0,Admit Ht,,chartevents,42452.0,,,,,carevue,,,
,,,,,924.0,Readmission,,chartevents,42452.0,,,,,carevue,,,
,,,,,925.0,Marital Status,,chartevents,42452.0,,,,,carevue,,,
,,,,,927.0,Allergy 2,,chartevents,42452.0,,,,,carevue,,,
,,,,,930.0,Ext,,chartevents,42452.0,,,,,carevue,,,
,,,,,935.0,Allergy 3,,chartevents,42452.0,,,,,carevue,,,
,,,,,917.0,Diagnosis/op,,chartevents,42450.0,,,,,carevue,,,
,,,,,358.0,ImpSkin Treatment #3,,chartevents,42371.0,,,,,carevue,,,
,,,,,388.0,Inc #3 [Closure],,chartevents,41559.0,,,,,carevue,,,
,,22 Gauge Dressing Occlusive,,,227369.0,22 Gauge Dressing Occlusive,,chartevents,41112.0,Access Lines - Peripheral,,,,metavision,,Checkbox,
,,,,,286.0,INV#4 WaveformAppear,,chartevents,40862.0,,,,,carevue,,,
,,History of slips / falls,,,225094.0,History of slips / falls,,chartevents,40691.0,Adm History/FHPA,,,,metavision,,Checkbox,
,,22 Gauge placed in outside facility,,,226139.0,22 Gauge placed in outside facility,,chartevents,40666.0,Access Lines - Peripheral,,,,metavision,,Checkbox,
,,Cuff Pressure,,,224417.0,Cuff Pressure,cmH2O,chartevents,40523.0,Respiratory,,,,metavision,,Numeric,
,,,,,784.0,CPK,,chartevents,40429.0,Enzymes,,,,carevue,,,
,,,,,8485.0,Warming [Status],,chartevents,40224.0,,,,,carevue,,,
,,,,,570.0,PressSoreWoundBase#1,,chartevents,40185.0,,,,,carevue,,,
,,,,,89.0,C.O. (fick),,chartevents,39939.0,,,,,carevue,,,
,,,,,592.0,RLE [Sensation],,chartevents,39456.0,,,,,carevue,,,
,,Incentive Spirometry,,,225189.0,Incentive Spirometry,,chartevents,39428.0,Treatments,,,,metavision,,Checkbox,
,,,,,598.0,RUE [Sensation],,chartevents,39121.0,,,,,carevue,,,
,,,,,496.0,PCA Dose,,chartevents,39013.0,,,,,carevue,,,
,,,,,499.0,PCA Medication,,chartevents,39009.0,,,,,carevue,,,
,,,,,7914.0,Insulin Guideline,,chartevents,38955.0,,,,,carevue,,,
,,,,,498.0,PCA Lockout (Min),,chartevents,38953.0,,,,,carevue,,,
,,,,,493.0,PCA 1 Hr Limit (mg),,chartevents,38930.0,,,,,carevue,,,
,,,,,8469.0,LLE [Sensation],,chartevents,38823.0,,,,,carevue,,,
,,,,,3370.0,Cobedding,,chartevents,38505.0,,,,,carevue,,,
,,,,,427.0,LUE [Temp],,chartevents,38291.0,,,,,carevue,,,
,,,,,8472.0,LUE [Sensation],,chartevents,38134.0,,,,,carevue,,,
,,,,,102.0,CT #2 Suction Amount,,chartevents,37777.0,,,,,carevue,,,
,,,,,446.0,Micro-Neb Treatment,,chartevents,37653.0,,,,,carevue,,,
,,,,,100.0,CT #2 Dressing,,chartevents,37582.0,,,,,carevue,,,
,,,,,8436.0,LUE [Color],,chartevents,37542.0,,,,,carevue,,,
,,,,,327.0,IV Site Appear #4,,chartevents,37372.0,,,,,carevue,,,
,,CVP Alarm - High,,,220072.0,Central Venous Pressure Alarm - High,mmHg,chartevents,37335.0,Alarms,,,,metavision,,Numeric,
,,CVP Alarm - Low,,,220073.0,Central Venous Pressure  Alarm - Low,mmHg,chartevents,37288.0,Alarms,,,,metavision,,Numeric,
,,,,,414.0,Incision/Wound #4,,chartevents,37055.0,,,,,carevue,,,
,,,,,346.0,ImpSkin Character #3,,chartevents,37045.0,,,,,carevue,,,
,,16 Gauge Dressing Occlusive,,,227366.0,16 Gauge Dressing Occlusive,,chartevents,36654.0,Access Lines - Peripheral,,,,metavision,,Checkbox,
,,Visual / hearing deficit,,,225087.0,Visual / hearing deficit,,chartevents,36392.0,Adm History/FHPA,,,,metavision,,Checkbox,
,,,,,8418.0,Inc #3 [Appearance],,chartevents,36368.0,,,,,carevue,,,
,,ETOH,,,225106.0,ETOH,,chartevents,36234.0,Adm History/FHPA,,,,metavision,,Checkbox,
,,16 Gauge placed in outside facility,,,226136.0,16 Gauge placed in outside facility,,chartevents,36199.0,Access Lines - Peripheral,,,,metavision,,Checkbox,
,,,,,151.0,Dialysis Site Appear,,chartevents,36113.0,,,,,carevue,,,
,,,,,2921.0,Delta P,,chartevents,35834.0,,,,,carevue,,,
,,Multi Lumen Zero/Calibrate,,,225206.0,Multi Lumen Zero/Calibrate,,chartevents,35785.0,Access Lines - Invasive,,,,metavision,,Checkbox,
,,Difficulty swallowing,,,225118.0,Difficulty swallowing,,chartevents,35691.0,Adm History/FHPA,,,,metavision,,Checkbox,
,,,,,3425.0,FeSO4,,chartevents,35678.0,,,,,carevue,,,
,,,,,3502.0,Mean PAW,,chartevents,35644.0,,,,,carevue,,,
,,,,,508.0,PT Splint #1 [Location],,chartevents,35510.0,,,,,carevue,,,
,,,,,3468.0,IV #4 [Location],,chartevents,35267.0,,,,,carevue,,,
,,,,,3457.0,Hertz,,chartevents,35230.0,,,,,carevue,,,
,,,,,8450.0,PT Splint #1 [Status],,chartevents,35092.0,,,,,carevue,,,
,,,,,8524.0,IV #4 [Location],,chartevents,34975.0,,,,,carevue,,,
,,,,,5816.0,ICP Alarm [Low],,chartevents,34967.0,,,,,carevue,,,
,,,,,323.0,IV Site #4,,chartevents,34782.0,,,,,carevue,,,
,,,,,7074.0,NeoBlue Bank,,chartevents,34685.0,,,,,carevue,,,
,,,,,551.0,Pressure Sore #1 [Stage],,chartevents,34380.0,,,,,carevue,,,
,,,,,3605.0,Respiratory Support,,chartevents,34339.0,,,,,carevue,,,
,,,,,3307.0,Appearance,,chartevents,34319.0,,,,,carevue,,,
,,,,,554.0,Press Sore Site #2,,chartevents,34292.0,,,,,carevue,,,
,,,,,99.0,CT #2 Drainage,,chartevents,34269.0,,,,,carevue,,,
,,Dialysis patient,,,225126.0,Dialysis patient,,chartevents,34174.0,Adm History/FHPA,,,,metavision,,Checkbox,
,,,,,1211.0,Insp Time %,,chartevents,33868.0,,,,,carevue,,,
,,Currently experiencing pain,,,225113.0,Currently experiencing pain,,chartevents,33848.0,Adm History/FHPA,,,,metavision,,Checkbox,
,,,,,8550.0,ICP Alarm [High],,chartevents,33601.0,,,,,carevue,,,
,,Dialysis Catheter Dressing Occlusive,,,227357.0,Dialysis Catheter Dressing Occlusive,,chartevents,33433.0,Access Lines - Invasive,,,,metavision,,Checkbox,
,,Is the spokesperson the Health Care Proxy,,,225067.0,Is the spokesperson the Health Care Proxy,,chartevents,33335.0,Adm History/FHPA,,,,metavision,,Checkbox,
,,,,,101.0,CT #2 [Fluctuate],,chartevents,33209.0,,,,,carevue,,,
,,,,,253.0,INV Line#5 [Type],,chartevents,32949.0,,,,,carevue,,,
,,Site Length #2,,,224916.0,Impaired Skin Length #2,cm,chartevents,32675.0,Skin - Impairment,,,,metavision,,Numeric,
,,No wallet / money,,,226179.0,No wallet / money,,chartevents,32476.0,Adm History/FHPA,,,,metavision,,Checkbox,
,,Recreational drug use,,,225110.0,Recreational drug use,,chartevents,32212.0,Adm History/FHPA,,,,metavision,,Checkbox,
,,,,,8396.0,INV Line#5 [Site],,chartevents,32170.0,,,,,carevue,,,
,,Dialysis Cath placed in outside facility,,,226118.0,Dialysis Catheter placed in outside facility,,chartevents,32078.0,Access Lines - Invasive,,,,metavision,,Checkbox,
,,,,,8374.0,CT #2 [Leak],,chartevents,31991.0,,,,,carevue,,,
,,,,,595.0,RSBI (<200),,chartevents,31984.0,,,,,carevue,,,
,,,,,652.0,Spon. Vt (L) (Mech.),,chartevents,31824.0,,,,,carevue,,,
,,,,,8365.0,Angio Appearance #1 [Attribute 2],,chartevents,31742.0,,,,,carevue,,,
,,,,,3689.0,Vt [Ventilator],,chartevents,31662.0,,,,,carevue,,,
,,Site Width #2,,,224951.0,Impaired Skin Width #2,cm,chartevents,31423.0,Skin - Impairment,,,,metavision,,Numeric,
,,,,,194.0,Flow-By (lpm),,chartevents,31379.0,,,,,carevue,,,
,,,,,55.0,Assisted Systole,,chartevents,31057.0,,,,,carevue,,,
,,Any fear in relationships,,,225074.0,Any fear in relationships,,chartevents,30995.0,Adm History/FHPA,,,,metavision,,Checkbox,
,,,,,497.0,Patient controlled analgesia (PCA) [Inject],,chartevents,30985.0,,,,,carevue,,,
,,,,,59.0,Augmented Diastole,,chartevents,30982.0,,,,,carevue,,,
,,Special diet,,,225122.0,Special diet,,chartevents,30876.0,Adm History/FHPA,,,,metavision,,Checkbox,
,,,,,62.0,BAEDP,,chartevents,30799.0,,,,,carevue,,,
,,,,,129.0,Collar Care,,chartevents,30769.0,,,,,carevue,,,
,,,,,597.0,RUE [Temperature],,chartevents,30601.0,,,,,carevue,,,
,,Social work consult,,,225078.0,Social work consult,,chartevents,30434.0,Adm History/FHPA,,,,metavision,,Checkbox,
,,,,,1397.0,RSBI (<100),,chartevents,30384.0,,,,,carevue,,,
,,,,,8449.0,Patient controlled analgesia (PCA) [Attempt],,chartevents,30368.0,,,,,carevue,,,
,,,,,195.0,Flow-by Sensitivity,,chartevents,30331.0,,,,,carevue,,,
,,,,,8471.0,RUE [Color],,chartevents,30152.0,,,,,carevue,,,
,,Odor #4,,,224925.0,Impaired Skin Odor #4,,chartevents,29513.0,Skin - Impairment,,,,metavision,,Checkbox,
,,,,,3417.0,Eye Drainage [Left],,chartevents,29263.0,,,,,carevue,,,
,,,,,3579.0,Precordium,,chartevents,29126.0,,,,,carevue,,,
,,,,,40071.0,Drain Out #1 Jackson Pratt,,outputevents,28864.0,,,,,carevue,,,
,,,,,121.0,Chest PT [Right],,chartevents,28730.0,,,,,carevue,,,
,,,,,1697.0,Atrial Pacemaker Sense [mV],,chartevents,28637.0,,,,,carevue,,,
,,,,,50993.0,THYROID STIMULATING HORMONE,,labevents,28221.0,CHEMISTRY,,BLOOD,3016-01-03 00:00:00,,,,
,,,,,364.0,ImpSkin Wound Base#3,,chartevents,28171.0,,,,,carevue,,,
,,,,,3484.0,Latch On,,chartevents,27827.0,,,,,carevue,,,
,,,,,3384.0,Dad held infant,,chartevents,27826.0,,,,,carevue,,,
,,,,,403.0,Inc #4 [Dressing],,chartevents,27800.0,,,,,carevue,,,
,,,,,3477.0,Infant's Behavior,,chartevents,27756.0,,,,,carevue,,,
,,,,,3324.0,BP UAC [Mean],,chartevents,27647.0,,,,,carevue,,,
,,Sexuality / reproductive problems,,,226180.0,Sexuality / reproductive problems,,chartevents,27621.0,Adm History/FHPA,,,,metavision,,Checkbox,
,,,,,3325.0,BP UAC [Systolic],,chartevents,27586.0,,,,,carevue,,,
,,,,,719.0,Ventricular Pacemaker [mA],,chartevents,27512.0,,,,,carevue,,,
,,,,,3638.0,Suck Reflex,,chartevents,27511.0,,,,,carevue,,,
,,,,,3660.0,Time at Breast,,chartevents,27473.0,,,,,carevue,,,
,,,,,666.0,Systolic Unloading,,chartevents,27432.0,,,,,carevue,,,
,,,,,8516.0,Eye Drainage [Right],,chartevents,27286.0,,,,,carevue,,,
,,,,,8508.0,BP UAC [Diastolic],,chartevents,27261.0,,,,,carevue,,,
,,,,,3329.0,BehavioralIntervent,,chartevents,27226.0,,,,,carevue,,,
,,,,,8378.0,Chest PT [Left],,chartevents,27131.0,,,,,carevue,,,
,,Emotional / physical / sexual harm,,,225076.0,Emotional / physical / sexual harm by partner or close relation,,chartevents,27071.0,Adm History/FHPA,,,,metavision,,Checkbox,
,,,,,8406.0,ImpSkin #1 [Amount],,chartevents,27034.0,,,,,carevue,,,
,,Cerebral Ventricular #1,,,226606.0,Cerebral Ventricular #1,mL,outputevents,26915.0,Drains,,,,metavision,,Numeric,
,,,,,70.0,BSA - English,,chartevents,26870.0,,,,,carevue,,,
,,,,,71.0,BSA - Metric,,chartevents,26870.0,,,,,carevue,,,
,,,,,50933.0,GREEN TOP HOLD (PLASMA),,labevents,26855.0,CHEMISTRY,,BLOOD,,,,,
,,,,,8491.0,Atrial Pacemaker Sense [mA],,chartevents,26712.0,,,,,carevue,,,
,,,,,150.0,Dialysis Machine,,chartevents,26633.0,,,,,carevue,,,
,,,,,1695.0,Atr Sens Thresh mV,,chartevents,26615.0,,,,,carevue,,,
,,,,,3497.0,MAWP Alarm [Low],,chartevents,26589.0,,,,,carevue,,,
,,,,,504.0,PCWP,,chartevents,26562.0,,,,,carevue,,,
,,CK (CPK),,,225634.0,CK (CPK),None,chartevents,26561.0,Labs,,,,metavision,,Numeric,
,,,,,1696.0,Atr Stim Thresh mA,,chartevents,26471.0,,,,,carevue,,,
,,,,,248.0,INV Line#4 Zero/Cal,,chartevents,26434.0,,,,,carevue,,,
,,,,,8527.0,MAWP Alarm [High],,chartevents,26329.0,,,,,carevue,,,
,,Cordis/Introducer Dressing Occlusive,,,227350.0,Cordis/Introducer Dressing Occlusive,,chartevents,26311.0,Access Lines - Invasive,,,,metavision,,Checkbox,
,,,,,3616.0,Skeletal Abnormality,,chartevents,26263.0,,,,,carevue,,,
,,,,,256.0,INV Line#5SiteAppear,,chartevents,26038.0,,,,,carevue,,,
,,,,,51100.0,"SODIUM, URINE",,labevents,25997.0,CHEMISTRY,,URINE,2955-01-03 00:00:00,,,,
,,,,,350.0,ImpSkin #3 [Drain],,chartevents,25902.0,,,,,carevue,,,
,,TF Residual,,,227510.0,TF Residual,mL,outputevents,25849.0,Output,,,,metavision,,Numeric,
,,Temp Pacemaker Wires Venticular,,,223962.0,Temporary Pacemaker Wires Venticular,None,chartevents,25498.0,Cardiovascular (Pacer Data),,,,metavision,,Numeric,
,,,,,40049.0,Chest Tubes Right Pleural 1,,outputevents,25448.0,,,,,carevue,,,
,,,,,785.0,CPK/MB,,chartevents,25336.0,Enzymes,,,,carevue,,,
,,,,,395.0,Inc #4 [Drainage],,chartevents,25130.0,,,,,carevue,,,
,,,,,3520.0,Muscular Abnormality,,chartevents,25094.0,,,,,carevue,,,
,,,,,51000.0,TRIGLYCERIDES,,labevents,24987.0,CHEMISTRY,,BLOOD,4/1/1644,,,,
,,Temp Pacemaker Rate,,,224751.0,Temporary Pacemaker Rate,bpm,chartevents,24924.0,Cardiovascular (Pacer Data),,,,metavision,,Numeric,
,,22 Gauge placed in the field,,,228101.0,22 Gauge placed in the field,,chartevents,24924.0,Access Lines - Peripheral,,,,metavision,,Checkbox,
,,Cordis/Introducer placed in outside facility,,,226109.0,Cordis/Introducer placed in outside facility,,chartevents,24786.0,Access Lines - Invasive,,,,metavision,,Checkbox,
,,Temp Pacemaker Wires Atrial,,,224839.0,Temporary Pacemaker Wires Atrial,None,chartevents,24754.0,Cardiovascular (Pacer Data),,,,metavision,,Numeric,
,,,,,40052.0,Gastric Nasogastric,,outputevents,24726.0,,,,,carevue,,,
,,,,,558.0,Pressure Sore #1 [Drainage],,chartevents,24703.0,,,,,carevue,,,
,,,,,339.0,Imp Skin Cleanse #2,,chartevents,24633.0,,,,,carevue,,,
